user_id,net_id,lever_num,degree,Authenticity
4475491136614490.0,14,0,1272,fake
4475491291854333.0,14,1,1,fake
4475491366562662.0,14,1,1,fake
4475491392408295.0,14,1,1,fake
4475491396021742.0,14,1,1,fake
4475491421334062.0,14,1,1,fake
4475491442658227.0,14,1,1,fake
4475491488394713.0,14,1,1,fake
4475491597561473.0,14,1,1,fake
4475491639686792.0,14,1,1,fake
4475491652324434.0,14,1,1,fake
4475491669150115.0,14,1,1,fake
4475491715115730.0,14,1,1,fake
4475491714815805.0,14,1,1,fake
4475491732017909.0,14,1,1,fake
4475491749044296.0,14,1,1,fake
4475491761674693.0,14,1,1,fake
4475491782273691.0,14,1,1,fake
4475491794552133.0,14,1,1,fake
4475491803496447.0,14,1,1,fake
4475491849267398.0,14,1,1,fake
4475491853546839.0,14,1,1,fake
4475491866102637.0,14,1,1,fake
4475491878465346.0,14,1,1,fake
4475491894999628.0,14,1,1,fake
4475491912468592.0,14,1,1,fake
4475491929037839.0,14,1,1,fake
4475491962390265.0,14,1,1,fake
4475491979700276.0,14,1,1,fake
4475491987949355.0,14,1,1,fake
4475491992317664.0,14,1,1,fake
4475492025979730.0,14,1,1,fake
4475492046751016.0,14,1,1,fake
4475492071849384.0,14,1,1,fake
4475492105667626.0,14,1,1,fake
4475492193373051.0,14,1,1,fake
4475492252400838.0,14,1,1,fake
4475492272819933.0,14,1,1,fake
4475492277649098.0,14,1,1,fake
4475492294125579.0,14,1,1,fake
4475492306841728.0,14,1,1,fake
4475492315167609.0,14,1,1,fake
4475492327889903.0,14,1,1,fake
4475492360606495.0,14,1,1,fake
4475492390066314.0,14,1,1,fake
4475492411181305.0,14,1,1,fake
4475492432511345.0,14,1,1,fake
4475492440308562.0,14,1,1,fake
4475492478858310.0,14,1,1,fake
4475492503502755.0,14,1,1,fake
4475492507723599.0,14,1,1,fake
4475492557972467.0,14,1,1,fake
4475492616890283.0,14,1,1,fake
4475492646701814.0,14,1,1,fake
4475492646100698.0,14,1,1,fake
4475492655117949.0,14,1,1,fake
4475492696275646.0,14,1,1,fake
4475492738438093.0,14,1,1,fake
4475492771846272.0,14,1,1,fake
4475492775962365.0,14,1,1,fake
4475492801318302.0,14,1,1,fake
4475492843448065.0,14,1,1,fake
4475492884860829.0,14,1,1,fake
4475492885795878.0,14,1,1,fake
4475492969129591.0,14,1,1,fake
4475492977616464.0,14,1,1,fake
4475493031611124.0,14,1,1,fake
4475493040436249.0,14,1,1,fake
4475493095211687.0,14,1,1,fake
4475493112037020.0,14,1,1,fake
4475493187221387.0,14,1,1,fake
4475493342684407.0,14,1,1,fake
4475493347127686.0,14,1,1,fake
4475493363957610.0,14,1,1,fake
4475493443652223.0,14,1,1,fake
4475493446979366.0,14,1,1,fake
4475493472399486.0,14,1,1,fake
4475493544114035.0,14,1,1,fake
4475493556133768.0,14,1,1,fake
4475493581763924.0,14,1,1,fake
4475493611446482.0,14,1,1,fake
4475493610574657.0,14,1,1,fake
4475493623361919.0,14,1,1,fake
4475493632226788.0,14,1,1,fake
4475493711916147.0,14,1,1,fake
4475493740509259.0,14,1,1,fake
4475493779231909.0,14,1,1,fake
4475493816439890.0,14,1,1,fake
4475493825024474.0,14,1,1,fake
4475493866682078.0,14,1,1,fake
4475493917539320.0,14,1,1,fake
4475493958607330.0,14,1,1,fake
4475493963222493.0,14,1,1,fake
4475494000683779.0,14,1,1,fake
4475494060052352.0,14,1,1,fake
4475494101916345.0,14,1,1,fake
4475494105375513.0,14,1,1,fake
4475494131111590.0,14,1,1,fake
4475494181807118.0,14,1,1,fake
4475494190224938.0,14,1,1,fake
4475494248175329.0,14,1,1,fake
4475494252880795.0,14,1,1,fake
4475494253079690.0,14,1,1,fake
4475494286746747.0,14,1,1,fake
4475494311042611.0,14,1,1,fake
4475494311534909.0,14,1,1,fake
4475494319621028.0,14,1,1,fake
4475494600385700.0,14,1,1,fake
4475494613128312.0,14,1,1,fake
4475494613013484.0,14,1,1,fake
4475494688977160.0,14,1,1,fake
4475494714388274.0,14,1,1,fake
4475494739135544.0,14,1,1,fake
4475494751841246.0,14,1,2,fake
4475494760167296.0,14,1,1,fake
4475494785645885.0,14,1,1,fake
4475494848356744.0,14,1,1,fake
4475494966038298.0,14,1,1,fake
4475494990905107.0,14,1,1,fake
4475495032686991.0,14,1,1,fake
4475495196314976.0,14,1,1,fake
4475495221309495.0,14,1,1,fake
4475495317555799.0,14,1,1,fake
